source,entity,attribute,violation_type,severity,observed,expected
delta,party,ingestion_ts,TIMESTAMP_MISSING_SUFFIX,INFO,ingestion_ts TIMESTAMP,
delta,natural_person,date_of_birth,DATE_MISSING_SUFFIX,INFO,date_of_birth DATE,
delta,account,margin_eligible,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,margin_eligible BOOLEAN,
delta,equity_attributes,voting_rights_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,voting_rights_indicator BOOLEAN,
delta,equity_attributes,nms_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,nms_indicator BOOLEAN,
delta,equity_attributes,reg_sho_threshold,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,reg_sho_threshold BOOLEAN,
delta,equity_attributes,adr_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,adr_indicator BOOLEAN,
delta,equity_attributes,etf_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,etf_indicator BOOLEAN,
delta,fixed_income_attributes,callable_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,callable_indicator BOOLEAN,
delta,fixed_income_attributes,puttable_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,puttable_indicator BOOLEAN,
delta,fixed_income_attributes,convertible_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,convertible_indicator BOOLEAN,
delta,order_event,ingestion_ts,TIMESTAMP_MISSING_SUFFIX,INFO,ingestion_ts TIMESTAMP,
delta,quote_event,nbbo_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,nbbo_indicator BOOLEAN,
delta,quote_event,ingestion_ts,TIMESTAMP_MISSING_SUFFIX,INFO,ingestion_ts TIMESTAMP,
delta,error_correction,regulatory_deadline,DATE_MISSING_SUFFIX,INFO,regulatory_deadline DATE,
delta,asset_class_reference,cat_reportable,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,cat_reportable BOOLEAN,
hive,party,ingestion_ts,TIMESTAMP_MISSING_SUFFIX,INFO,ingestion_ts TIMESTAMP,
hive,natural_person,date_of_birth,DATE_MISSING_SUFFIX,INFO,date_of_birth DATE,
hive,account,margin_eligible,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,margin_eligible BOOLEAN,
hive,equity_attributes,voting_rights_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,voting_rights_indicator BOOLEAN,
hive,equity_attributes,nms_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,nms_indicator BOOLEAN,
hive,equity_attributes,reg_sho_threshold,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,reg_sho_threshold BOOLEAN,
hive,equity_attributes,adr_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,adr_indicator BOOLEAN,
hive,equity_attributes,etf_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,etf_indicator BOOLEAN,
hive,fixed_income_attributes,callable_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,callable_indicator BOOLEAN,
hive,fixed_income_attributes,puttable_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,puttable_indicator BOOLEAN,
hive,fixed_income_attributes,convertible_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,convertible_indicator BOOLEAN,
hive,order_event,ingestion_ts,TIMESTAMP_MISSING_SUFFIX,INFO,ingestion_ts TIMESTAMP,
hive,quote_event,nbbo_indicator,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,nbbo_indicator BOOLEAN,
hive,quote_event,ingestion_ts,TIMESTAMP_MISSING_SUFFIX,INFO,ingestion_ts TIMESTAMP,
hive,error_correction,regulatory_deadline,DATE_MISSING_SUFFIX,INFO,regulatory_deadline DATE,
hive,asset_class_reference,cat_reportable,BOOLEAN_MISSING_PREFIX_OR_FLAG_SUFFIX,WARNING,cat_reportable BOOLEAN,
